tahun,kuartal,jenis_pengeluaran,nilai
1992,"Q3","Konsumsi - Rumah Tangga",40129
1992,"Q3","Konsumsi - Pemerintah",6589.2
1992,"Q3","Pembentukan Modal Tetap Domestik Bruto",19597.1
1992,"Q3","Perubahan Inventori",5722.9
1992,"Q3","Ekspor Barang dan Jasa",21340
1992,"Q3","Impor Barang dan Jasa (dalam angka negatif)",-19905.4
1992,"Q4","Konsumsi - Rumah Tangga",41336.5
1992,"Q4","Konsumsi - Pemerintah",7601.3
1992,"Q4","Pembentukan Modal Tetap Domestik Bruto",21036
1992,"Q4","Perubahan Inventori",-1024.3
1992,"Q4","Ekspor Barang dan Jasa",25086.2
1992,"Q4","Impor Barang dan Jasa (dalam angka negatif)",-20519.3
1993,"Q1","Konsumsi - Rumah Tangga",39832.4
1993,"Q1","Konsumsi - Pemerintah",7114.5
1993,"Q1","Pembentukan Modal Tetap Domestik Bruto",20023.8
1993,"Q1","Perubahan Inventori",8245.5
1993,"Q1","Ekspor Barang dan Jasa",20915.3
1993,"Q1","Impor Barang dan Jasa (dalam angka negatif)",-18549.9
1993,"Q2","Konsumsi - Rumah Tangga",42611.1
1993,"Q2","Konsumsi - Pemerintah",7309.8
1993,"Q2","Pembentukan Modal Tetap Domestik Bruto",19947.8
1993,"Q2","Perubahan Inventori",7264.1
1993,"Q2","Ekspor Barang dan Jasa",21637.4
1993,"Q2","Impor Barang dan Jasa (dalam angka negatif)",-18339.5
1993,"Q3","Konsumsi - Rumah Tangga",52650.5
1993,"Q3","Konsumsi - Pemerintah",7487.9
1993,"Q3","Pembentukan Modal Tetap Domestik Bruto",22077.7
1993,"Q3","Perubahan Inventori",964.1
1993,"Q3","Ekspor Barang dan Jasa",22412.2
1993,"Q3","Impor Barang dan Jasa (dalam angka negatif)",-20068.7
1993,"Q4","Konsumsi - Rumah Tangga",57864.4
1993,"Q4","Konsumsi - Pemerintah",7844.5
1993,"Q4","Pembentukan Modal Tetap Domestik Bruto",24618
1993,"Q4","Perubahan Inventori",-5928.2
1993,"Q4","Ekspor Barang dan Jasa",23266
1993,"Q4","Impor Barang dan Jasa (dalam angka negatif)",-21424.9
1994,"Q1","Konsumsi - Rumah Tangga",47885.7
1994,"Q1","Konsumsi - Pemerintah",7303.8
1994,"Q1","Pembentukan Modal Tetap Domestik Bruto",22199.4
1994,"Q1","Perubahan Inventori",11577.3
1994,"Q1","Ekspor Barang dan Jasa",21174.7
1994,"Q1","Impor Barang dan Jasa (dalam angka negatif)",-22161.9
1994,"Q2","Konsumsi - Rumah Tangga",50987.4
1994,"Q2","Konsumsi - Pemerintah",7609.4
1994,"Q2","Pembentukan Modal Tetap Domestik Bruto",25297.2
1994,"Q2","Perubahan Inventori",6864.4
1994,"Q2","Ekspor Barang dan Jasa",24865.1
1994,"Q2","Impor Barang dan Jasa (dalam angka negatif)",-22635.1
1994,"Q3","Konsumsi - Rumah Tangga",63417.1
1994,"Q3","Konsumsi - Pemerintah",7855.6
1994,"Q3","Pembentukan Modal Tetap Domestik Bruto",26202.7
1994,"Q3","Perubahan Inventori",268.5
1994,"Q3","Ekspor Barang dan Jasa",26992.9
1994,"Q3","Impor Barang dan Jasa (dalam angka negatif)",-24927.1
1994,"Q4","Konsumsi - Rumah Tangga",65829.1
1994,"Q4","Konsumsi - Pemerintah",8245.2
1994,"Q4","Pembentukan Modal Tetap Domestik Bruto",31681.3
1994,"Q4","Perubahan Inventori",-5383.8
1994,"Q4","Ekspor Barang dan Jasa",28299.2
1994,"Q4","Impor Barang dan Jasa (dalam angka negatif)",-27228.5
1995,"Q1","Konsumsi - Rumah Tangga",66649.2
1995,"Q1","Konsumsi - Pemerintah",8759.9
1995,"Q1","Pembentukan Modal Tetap Domestik Bruto",29204.9
1995,"Q1","Perubahan Inventori",4117.8
1995,"Q1","Ekspor Barang dan Jasa",26639.8
1995,"Q1","Impor Barang dan Jasa (dalam angka negatif)",-28828.5
1995,"Q2","Konsumsi - Rumah Tangga",68657.1
1995,"Q2","Konsumsi - Pemerintah",8308.5
1995,"Q2","Pembentukan Modal Tetap Domestik Bruto",30266.7
1995,"Q2","Perubahan Inventori",7175.6
1995,"Q2","Ekspor Barang dan Jasa",29266.3
1995,"Q2","Impor Barang dan Jasa (dalam angka negatif)",-32006.2
1995,"Q3","Konsumsi - Rumah Tangga",71276.9
1995,"Q3","Konsumsi - Pemerintah",8485.9
1995,"Q3","Pembentukan Modal Tetap Domestik Bruto",34187.6
1995,"Q3","Perubahan Inventori",4991.6
1995,"Q3","Ekspor Barang dan Jasa",31782.7
1995,"Q3","Impor Barang dan Jasa (dalam angka negatif)",-33604.7
1995,"Q4","Konsumsi - Rumah Tangga",73293.2
1995,"Q4","Konsumsi - Pemerintah",10029.9
1995,"Q4","Pembentukan Modal Tetap Domestik Bruto",35558.4
1995,"Q4","Perubahan Inventori",-384.8
1995,"Q4","Ekspor Barang dan Jasa",31903.7
1995,"Q4","Impor Barang dan Jasa (dalam angka negatif)",-31217.5
1996,"Q1","Konsumsi - Rumah Tangga",80944
1996,"Q1","Konsumsi - Pemerintah",10491.7
1996,"Q1","Pembentukan Modal Tetap Domestik Bruto",32786
1996,"Q1","Perubahan Inventori",-895.9
1996,"Q1","Ekspor Barang dan Jasa",30779
1996,"Q1","Impor Barang dan Jasa (dalam angka negatif)",-31575.3
1996,"Q2","Konsumsi - Rumah Tangga",80687.7
1996,"Q2","Konsumsi - Pemerintah",9643.4
1996,"Q2","Pembentukan Modal Tetap Domestik Bruto",35607.3
1996,"Q2","Perubahan Inventori",6091.4
1996,"Q2","Ekspor Barang dan Jasa",33906.6
1996,"Q2","Impor Barang dan Jasa (dalam angka negatif)",-37090.9
1996,"Q3","Konsumsi - Rumah Tangga",82996.5
1996,"Q3","Konsumsi - Pemerintah",9685.5
1996,"Q3","Pembentukan Modal Tetap Domestik Bruto",43542
1996,"Q3","Perubahan Inventori",1806.1
1996,"Q3","Ekspor Barang dan Jasa",35377.6
1996,"Q3","Impor Barang dan Jasa (dalam angka negatif)",-36467.9
1996,"Q4","Konsumsi - Rumah Tangga",87466.2
1996,"Q4","Konsumsi - Pemerintah",10478.6
1996,"Q4","Pembentukan Modal Tetap Domestik Bruto",45717.4
1996,"Q4","Perubahan Inventori",-1201.2
1996,"Q4","Ekspor Barang dan Jasa",37470.1
1996,"Q4","Impor Barang dan Jasa (dalam angka negatif)",-35677.9
1997,"Q1","Konsumsi - Rumah Tangga",89816.4
1997,"Q1","Konsumsi - Pemerintah",10471
1997,"Q1","Pembentukan Modal Tetap Domestik Bruto",40968.7
1997,"Q1","Perubahan Inventori",8428.6
1997,"Q1","Ekspor Barang dan Jasa",33641.2
1997,"Q1","Impor Barang dan Jasa (dalam angka negatif)",-37525
1997,"Q2","Konsumsi - Rumah Tangga",91296.1
1997,"Q2","Konsumsi - Pemerintah",10389.8
1997,"Q2","Pembentukan Modal Tetap Domestik Bruto",44377
1997,"Q2","Perubahan Inventori",7055.6
1997,"Q2","Ekspor Barang dan Jasa",36530.6
1997,"Q2","Impor Barang dan Jasa (dalam angka negatif)",-40243.4
1997,"Q3","Konsumsi - Rumah Tangga",95983.7
1997,"Q3","Konsumsi - Pemerintah",10520.7
1997,"Q3","Pembentukan Modal Tetap Domestik Bruto",46516.1
1997,"Q3","Perubahan Inventori",8852.5
1997,"Q3","Ekspor Barang dan Jasa",43354.2
1997,"Q3","Impor Barang dan Jasa (dalam angka negatif)",-41990.5
1997,"Q4","Konsumsi - Rumah Tangga",110074.5
1997,"Q4","Konsumsi - Pemerintah",11570.5
1997,"Q4","Pembentukan Modal Tetap Domestik Bruto",45824.3
1997,"Q4","Perubahan Inventori",-2721.6
1997,"Q4","Ekspor Barang dan Jasa",61345.3
1997,"Q4","Impor Barang dan Jasa (dalam angka negatif)",-56840.9
1998,"Q1","Konsumsi - Rumah Tangga",124053.6
1998,"Q1","Konsumsi - Pemerintah",11356.6
1998,"Q1","Pembentukan Modal Tetap Domestik Bruto",65690.3
1998,"Q1","Perubahan Inventori",-10374.1
1998,"Q1","Ekspor Barang dan Jasa",118785.9
1998,"Q1","Impor Barang dan Jasa (dalam angka negatif)",-97937.4
1998,"Q2","Konsumsi - Rumah Tangga",146277.8
1998,"Q2","Konsumsi - Pemerintah",14085.8
1998,"Q2","Pembentukan Modal Tetap Domestik Bruto",56621.4
1998,"Q2","Perubahan Inventori",-17220.5
1998,"Q2","Ekspor Barang dan Jasa",126364.8
1998,"Q2","Impor Barang dan Jasa (dalam angka negatif)",-103320.3
1998,"Q3","Konsumsi - Rumah Tangga",183312.6
1998,"Q3","Konsumsi - Pemerintah",13477.8
1998,"Q3","Pembentukan Modal Tetap Domestik Bruto",63718.8
1998,"Q3","Perubahan Inventori",-34392.7
1998,"Q3","Ekspor Barang dan Jasa",165645.1
1998,"Q3","Impor Barang dan Jasa (dalam angka negatif)",-127498.2
1998,"Q4","Konsumsi - Rumah Tangga",194179.6
1998,"Q4","Konsumsi - Pemerintah",15495.7
1998,"Q4","Pembentukan Modal Tetap Domestik Bruto",57012.9
1998,"Q4","Perubahan Inventori",-20728.8
1998,"Q4","Ekspor Barang dan Jasa",95449
1998,"Q4","Impor Barang dan Jasa (dalam angka negatif)",-84302.2
1999,"Q1","Konsumsi - Rumah Tangga",205461.1
1999,"Q1","Konsumsi - Pemerintah",16188.9
1999,"Q1","Pembentukan Modal Tetap Domestik Bruto",53882.3
1999,"Q1","Perubahan Inventori",-21510.7
1999,"Q1","Ekspor Barang dan Jasa",93446.2
1999,"Q1","Impor Barang dan Jasa (dalam angka negatif)",-72241.3
1999,"Q2","Konsumsi - Rumah Tangga",203899.7
1999,"Q2","Konsumsi - Pemerintah",22504.5
1999,"Q2","Pembentukan Modal Tetap Domestik Bruto",52898.8
1999,"Q2","Perubahan Inventori",-26583.7
1999,"Q2","Ekspor Barang dan Jasa",95436.5
1999,"Q2","Impor Barang dan Jasa (dalam angka negatif)",-76560.3
1999,"Q3","Konsumsi - Rumah Tangga",199257.6
1999,"Q3","Konsumsi - Pemerintah",16829.6
1999,"Q3","Pembentukan Modal Tetap Domestik Bruto",54585.9
1999,"Q3","Perubahan Inventori",-19113.4
1999,"Q3","Ekspor Barang dan Jasa",101970.6
1999,"Q3","Impor Barang dan Jasa (dalam angka negatif)",-75972.3
1999,"Q4","Konsumsi - Rumah Tangga",204564.9
1999,"Q4","Konsumsi - Pemerintah",17108.3
1999,"Q4","Pembentukan Modal Tetap Domestik Bruto",60105.3
1999,"Q4","Perubahan Inventori",-29253.6
1999,"Q4","Ekspor Barang dan Jasa",99706.8
1999,"Q4","Impor Barang dan Jasa (dalam angka negatif)",-76880.1
